State,Bush%,Age65%,Urban%,ColGrad%,Union%,Region
AL,56.5,13,69.9,20.4,9.6,Seast
AK,58.6,5.7,41.5,28.1,21.9,West
AZ,51,13,88.2,24.6,6.4,West
AR,51.3,14,49.9,18.4,5.8,Seast
CA,41.7,10.6,96.7,27.5,16,West
CO,50.8,9.7,83.9,34.6,9,West
CT,38.4,13.8,95.6,31.6,16.3,Neast
DE,41.9,13,80,24,13.3,Neast
FL,48.8,17.6,92.8,22.8,6.8,Seast
GA,54.7,9.6,69.2,23.1,6.3,Seast
HI,37.5,13.3,72.3,26.3,24.8,West
ID,67.2,11.3,39.9,20,7.6,West
IL,42.6,12.1,84.9,27.1,18.6,MidWest
IN,56.6,12.4,72.2,17.1,15.6,MidWest
IA,48.2,14.9,45.3,25.5,13.6,MidWest
KS,58,13.3,56.6,27.3,9,MidWest
KY,56.5,12.5,48.8,20.5,12,Seast
LA,52.6,11.6,75.4,22.5,7.1,Seast
ME,44,14.4,36.6,24.1,14,Neast
MD,40.3,11.3,92.7,32.3,14.6,Neast
MA,32.5,13.5,95.9,32.7,14.3,Neast
MI,46.1,12.3,82.2,23,20.8,MidWest
MN,45.5,12.1,70.4,31.2,18.2,MidWest
MS,57.6,12.1,36,18.7,6,Seast
MO,50.4,13.5,67.8,26.2,13.2,MidWest
MT,58.4,13.4,33.9,23.8,13.9,West
NE,62.2,13.6,52.6,24.6,8.4,MidWest
NV,49.5,11,87.5,19.3,17.1,West
NH,48.1,12,59.9,30.1,10.4,Neast
NJ,40.3,13.2,100,30.1,20.8,Neast
NM,47.8,11.7,56.9,23.6,8.1,West
NY,35.2,12.9,92.1,28.7,25.5,Neast
NC,56,12,67.5,23.2,3.6,Seast
ND,60.7,14.7,44.2,22.6,6.5,MidWest
OH,50,13.3,81.2,24.6,17.3,MidWest
OK,60.3,13.2,60.8,22.5,6.8,MidWest
OR,46.5,12.8,73.1,27.2,16.1,West
PA,46.4,15.6,84.6,24.3,16.9,Neast
RI,31.9,14.5,94.1,26.4,18.2,Neast
SC,56.8,12.1,70,19,4,Seast
SD,60.3,14.3,34.6,25.7,5.5,MidWest
TN,51.1,12.4,67.9,22,8.9,Seast
TX,59.3,9.9,84.8,23.9,5.8,West
UT,66.8,8.5,76.5,26.4,7.3,West
VT,40.7,12.7,27.8,28.8,10.3,Neast
VA,52.5,11.2,78.1,31.9,5.6,Seast
WA,44.6,11.2,83.1,28.6,18.2,West
WV,51.9,15.3,42.3,15.3,14.3,Seast
WI,47.6,13.1,67.9,23.8,17.6,MidWest
WY,67.8,11.7,30,20.6,8.3,West
